Wavenumber,Intensity
2294.1764,0.037889
2296.0401,0.037045
2297.9038,0.036249
2299.7674,0.035363
2301.6311,0.034309
2303.4948,0.033066
2305.3585,0.031619
2307.2221,0.030426
2309.0858,0.029410
2310.9495,0.028057
2312.8131,0.026285
2314.6768,0.024512
2316.5405,0.022796
2318.4041,0.021262
2320.2678,0.019806
2322.1315,0.018969
2323.9951,0.019011
2325.8588,0.019697
2327.7225,0.019813
2329.5861,0.019386
2331.4498,0.019657
2333.3135,0.021110
2335.1772,0.023228
2337.0408,0.024588
2338.9045,0.026222
2340.7682,0.028093
2342.6318,0.029612
2344.4955,0.031870
2346.3592,0.034559
2348.2228,0.037753
2350.0865,0.036565
2351.9502,0.032216
2353.8138,0.030572
2355.6775,0.029534
2357.5412,0.031341
2359.4049,0.037205
2361.2685,0.044017
2363.1322,0.050746
2364.9959,0.057481
2366.8595,0.064141
2368.7232,0.070680
2370.5869,0.077644
2372.4505,0.084730
2374.3142,0.091131
2376.1779,0.097270
2378.0415,0.103056
2379.9052,0.107908
2381.7689,0.112123
2383.6325,0.115827
2385.4962,0.119118
2387.3599,0.121575
2389.2236,0.123905
2391.0872,0.126524
2392.9509,0.129072
2394.8146,0.131435
2396.6782,0.133886
2398.5419,0.136425
2400.4056,0.138903
2402.2692,0.141337
2404.1329,0.143995
2405.9966,0.146641
2407.8602,0.149132
2409.7239,0.151711
2411.5876,0.154427
2413.4512,0.157034
2415.3149,0.159771
2417.1786,0.162500
2419.0423,0.165060
2420.9059,0.167778
2422.7696,0.170755
2424.6333,0.173665
2426.4969,0.176360
2428.3606,0.179070
2430.2243,0.182070
2432.0879,0.184948
2433.9516,0.187717
2435.8153,0.190665
2437.6789,0.193667
2439.5426,0.196638
2441.4063,0.199766
2443.2700,0.202842
2445.1336,0.205677
2446.9973,0.208488
2448.8610,0.211912
2450.7246,0.215257
2452.5883,0.218223
2454.4520,0.221374
2456.3156,0.224584
2458.1793,0.227865
2460.0430,0.231261
2461.9066,0.234401
2463.7703,0.237628
2465.6340,0.240996
2467.4976,0.244316
2469.3613,0.247582
2471.2250,0.250905
2473.0887,0.254387
2474.9523,0.258009
2476.8160,0.261327
2478.6797,0.264614
2480.5433,0.268154
2482.4070,0.271476
2484.2707,0.274570
2486.1343,0.277762
2487.9980,0.280984
2489.8617,0.284418
2491.7253,0.287897
2493.5890,0.291013
2495.4527,0.294348
2497.3164,0.297776
2499.1800,0.300916
2501.0437,0.304262
2502.9074,0.307544
2504.7710,0.310545
2506.6347,0.313852
2508.4984,0.317469
2510.3620,0.320785
2512.2257,0.323988
2514.0894,0.327193
2515.9530,0.330426
2517.8167,0.333660
2519.6804,0.336811
2521.5440,0.339624
2523.4077,0.342639
2525.2714,0.345737
2527.1351,0.348877
2528.9987,0.351958
2530.8624,0.354910
2532.7261,0.357830
2534.5897,0.360634
2536.4534,0.363311
2538.3171,0.365986
2540.1807,0.368723
2542.0444,0.371634
2543.9081,0.374700
2545.7717,0.377609
2547.6354,0.379935
2549.4991,0.382429
2551.3627,0.385048
2553.2264,0.387571
2555.0901,0.390089
2556.9538,0.392492
2558.8174,0.394878
2560.6811,0.397301
2562.5448,0.399584
2564.4084,0.402049
2566.2721,0.404334
2568.1358,0.406537
2569.9994,0.408751
2571.8631,0.410696
2573.7268,0.412437
2575.5904,0.414843
2577.4541,0.417259
2579.3178,0.418960
2581.1815,0.420401
2583.0451,0.422224
2584.9088,0.424259
2586.7725,0.425748
2588.6361,0.426989
2590.4998,0.428837
2592.3635,0.430692
2594.2271,0.432433
2596.0908,0.434013
2597.9545,0.435147
2599.8181,0.436056
2601.6818,0.437667
2603.5455,0.439047
2605.4091,0.439592
2607.2728,0.440538
2609.1365,0.441430
2611.0002,0.441735
2612.8638,0.442782
2614.7275,0.444383
2616.5912,0.445379
2618.4548,0.445845
2620.3185,0.446151
2622.1822,0.446422
2624.0458,0.446948
2625.9095,0.447812
2627.7732,0.448415
2629.6368,0.448568
2631.5005,0.448777
2633.3642,0.449296
2635.2279,0.449725
2637.0915,0.449571
2638.9552,0.449233
2640.8189,0.449491
2642.6825,0.449937
2644.5462,0.450025
2646.4099,0.449886
2648.2735,0.449534
2650.1372,0.449162
2652.0009,0.448996
2653.8645,0.448912
2655.7282,0.448915
2657.5919,0.448933
2659.4555,0.448238
2661.3192,0.447278
2663.1829,0.446626
2665.0466,0.446125
2666.9102,0.445796
2668.7739,0.445487
2670.6376,0.444657
2672.5012,0.444345
2674.3649,0.443907
2676.2286,0.442354
2678.0922,0.440719
2679.9559,0.439933
2681.8196,0.439319
2683.6832,0.438425
2685.5469,0.437481
2687.4106,0.436386
2689.2742,0.435112
2691.1379,0.434319
2693.0016,0.433570
2694.8653,0.432380
2696.7289,0.431209
2698.5926,0.430067
2700.4563,0.428888
2702.3199,0.427380
2704.1836,0.425890
2706.0473,0.424896
2707.9109,0.423579
2709.7746,0.422312
2711.6383,0.421309
2713.5019,0.419901
2715.3656,0.418150
2717.2293,0.417143
2719.0930,0.416640
2720.9566,0.415558
2722.8203,0.414218
2724.6840,0.412888
2726.5476,0.411176
2728.4113,0.409731
2730.2750,0.408279
2732.1386,0.406667
2734.0023,0.405093
2735.8660,0.403706
2737.7296,0.402137
2739.5933,0.400530
2741.4570,0.398761
2743.3206,0.396965
2745.1843,0.395787
2747.0480,0.394305
2748.9117,0.392406
2750.7753,0.390769
2752.6390,0.389290
2754.5027,0.387520
2756.3663,0.385486
2758.2300,0.383771
2760.0937,0.382432
2761.9573,0.381217
2763.8210,0.379537
2765.6847,0.377491
2767.5483,0.375533
2769.4120,0.373799
2771.2757,0.372314
2773.1394,0.370933
2775.0030,0.369153
2776.8667,0.367218
2778.7304,0.365734
2780.5940,0.364076
2782.4577,0.362169
2784.3214,0.360364
2786.1850,0.358936
2788.0487,0.357881
2789.9124,0.356782
2791.7760,0.355228
2793.6397,0.353452
2795.5034,0.352119
2797.3670,0.351462
2799.2307,0.350949
2801.0944,0.349993
2802.9581,0.349100
